Date,Open,High,Low,Close,SharesTraded,
20050715 00:00,503600,515000,499600,502200,8616700,
20050718 00:00,501800,503500,499500,499800,7707800,
20050719 00:00,499900,530300,495600,497800,9377200,
20050720 00:00,495500,500600,492400,500300,9083000,
20050721 00:00,497000,497000,490000,493700,12180200,
20050722 00:00,494900,497200,492600,495500,6965800,
20050725 00:00,495400,498700,493100,494300,6170500,
20050726 00:00,496400,498700,495100,495600,7005400,
20050727 00:00,495100,500100,494500,497800,6236500,
20050728 00:00,499500,499800,495500,497600,6039100,
20050729 00:00,497000,499900,493300,493700,6221700,
20050801 00:00,496200,497500,494300,495400,6741500,
20050802 00:00,496500,498700,477900,497700,6088300,
20050803 00:00,495300,497400,494700,496400,10370200,
20050804 00:00,496900,498400,492400,492800,9099000,
20050805 00:00,491000,496000,490200,493100,8219900,
20050808 00:00,494800,495400,491000,491400,6989600,
20050809 00:00,491500,495600,490900,492500,7292300,
20050810 00:00,493100,497500,487600,488300,10359800,
20050811 00:00,490300,493000,486500,489500,9048400,
20050812 00:00,488200,491000,485600,487000,10051900,
20050815 00:00,488200,491500,485000,491500,10084300,
20050816 00:00,480600,482000,445700,475300,29259300,
20050817 00:00,473100,476100,471100,471200,11179100,
20050818 00:00,471800,474600,465000,472200,8095100,
20050819 00:00,473800,473800,465100,465600,13969700,
20050822 00:00,468600,496200,463300,466700,9833800,
20050823 00:00,464300,466500,463000,463800,8384200,
20050824 00:00,463500,464600,441900,455400,14712400,
20050825 00:00,458300,459500,451600,452800,12645800,
20050826 00:00,453200,460500,452100,457000,13874300,
20050829 00:00,454400,459500,452900,456600,10308000,
20050830 00:00,453600,455000,447500,451900,20828300,
20050831 00:00,452900,453000,447000,449600,20939800,
20050901 00:00,449500,451400,447200,449900,16316300,
20050902 00:00,451500,451800,445300,445500,11375600,
20050906 00:00,448500,457300,445500,456400,16346100,
20050907 00:00,458300,459800,453600,458700,12345400,
20050908 00:00,456000,458600,453200,458600,10165100,
20050909 00:00,456600,499500,449000,459300,10170300,
20050912 00:00,457200,461300,455500,459000,10888500,
20050913 00:00,464800,464800,450300,450600,15241500,
20050914 00:00,451800,453000,445700,446700,14294800,
20050915 00:00,447000,448000,433800,443200,17441800,
20050916 00:00,442100,444700,438300,439000,54236900,
20050919 00:00,440000,442400,438200,440200,32417500,
20050920 00:00,440800,441500,430900,432200,24715800,
20050921 00:00,430200,431400,420200,424800,27085200,
20050922 00:00,424500,435300,423100,432000,21394500,
20050923 00:00,433000,436500,428700,432000,17802600,
20050926 00:00,437700,438300,430200,431100,15122200,
20050927 00:00,433500,434500,429000,430600,13858500,
20050928 00:00,430500,434000,427600,431500,16959300,
20050929 00:00,432900,435800,430000,435400,15628600,
20050930 00:00,434800,438700,433500,438100,12294600,
20051003 00:00,441500,444200,436900,437700,16256600,
20051004 00:00,437600,442900,437600,438400,12898200,
20051005 00:00,439700,439700,435000,435000,13349000,
20051006 00:00,439500,444500,433000,439100,20043800,
20051007 00:00,440200,442300,437500,440400,11881900,
20051010 00:00,445800,450000,444500,445500,18559900,
20051011 00:00,449900,452000,445500,450100,16881800,
20051012 00:00,450600,451500,446000,449400,15478900,
20051013 00:00,449000,451000,446100,448100,12210500,
20051014 00:00,451800,452600,444100,450500,11529200,
20051017 00:00,452800,452900,448400,452600,9464100,
20051018 00:00,452000,455000,450400,451500,11559600,
20051019 00:00,451300,460700,447800,459900,16186500,
20051020 00:00,461500,465700,454000,456200,17837000,
20051021 00:00,457800,461000,456000,457300,12582700,
20051024 00:00,460900,463500,457100,462200,10211300,
20051025 00:00,459600,460800,452500,453800,14650300,
20051026 00:00,451700,459800,450600,455600,11294700,
20051027 00:00,454400,456800,447200,447500,12249600,
20051028 00:00,449900,455500,447400,454900,11703200,
20051031 00:00,461000,475300,459900,473100,21855700,
20051101 00:00,471200,473100,468100,470000,11201700,
20051102 00:00,467500,477700,466100,475500,14127900,
20051103 00:00,480000,482400,471300,474200,15754300,
20051104 00:00,474000,477500,470800,476600,10247800,
20051107 00:00,479200,481900,477500,480400,11950700,
20051108 00:00,478000,496400,473700,476100,7284200,
20051109 00:00,475300,483700,473200,481800,13136000,
20051110 00:00,482500,493000,481500,490400,18258000,
20051111 00:00,491600,494800,487700,490200,11630900,
20051114 00:00,494100,496900,490100,492500,13033900,
20051115 00:00,488000,491200,483100,488000,16027000,
20051116 00:00,487800,492000,483300,488900,11265500,
20051117 00:00,490400,493000,488600,492400,6437700,
20051118 00:00,496600,498000,489300,494800,12553400,
20051121 00:00,495400,498000,494100,494900,9315500,
20051122 00:00,493400,502300,487200,502100,15279100,
20051123 00:00,503000,507200,500700,506300,11675000,
20051125 00:00,506900,508700,503200,505300,6144400,
20051128 00:00,506200,506600,498300,500000,16111100,
20051129 00:00,500100,501000,488200,490300,17794200,
20051130 00:00,491200,491800,485300,485800,10404700,
20051201 00:00,485900,487500,475300,480400,22852900,
20051202 00:00,478300,484600,475100,479700,10776500,
20051205 00:00,478900,478900,470900,471600,18068300,
20051206 00:00,474100,479200,473200,475900,17281900,
20051207 00:00,478000,480600,474200,477500,10569000,
20051208 00:00,477600,478800,475000,476600,12035100,
20051209 00:00,476000,484600,475800,480700,10786800,
20051212 00:00,483500,488800,483000,486700,15186800,
